,COUNTYNAME,COUNTYCODE,CONGDIST,Reg7am2,Reg7am,Year,PercRegVot
301,Aitkin,1,8,10096,10096,2016,1
302,Anoka,2,3,37078,207039,2016,0.179087032
303,Anoka,2,5,31180,207039,2016,0.150599645
304,Anoka,2,6,138781,207039,2016,0.670313323
305,Becker,3,7,18819,18819,2016,1
306,Beltrami,4,7,15297,24213,2016,0.631768058
307,Beltrami,4,8,8916,24213,2016,0.368231942
308,Benton,5,6,22108,22108,2016,1
309,Big Stone,6,7,3090,3090,2016,1
310,Blue Earth,7,1,36184,36184,2016,1
311,Brown,8,1,15053,15053,2016,1
312,Carlton,9,8,20427,20427,2016,1
313,Carver,10,3,38878,61894,2016,0.62813843
314,Carver,10,6,23016,61894,2016,0.37186157
315,Cass,11,8,18423,18423,2016,1
316,Chippewa,12,7,6858,6858,2016,1
317,Chisago,13,8,32848,32848,2016,1
318,Clay,14,7,32470,32470,2016,1
319,Clearwater,15,7,4612,4612,2016,1
320,Cook,16,8,3653,3653,2016,1
321,Cottonwood,17,1,2032,6297,2016,0.322693346
322,Cottonwood,17,7,4265,6297,2016,0.677306654
323,Crow Wing,18,8,39432,39432,2016,1
324,Dakota,19,2,258584,258584,2016,1
325,Dodge,20,1,11777,11777,2016,1
326,Douglas,21,7,24306,24306,2016,1
327,Faribault,22,1,8262,8262,2016,1
328,Fillmore,23,1,12223,12223,2016,1
329,Freeborn,24,1,17920,17920,2016,1
330,Goodhue,25,2,28323,28323,2016,1
331,Grant,26,7,3858,3858,2016,1
332,Hennepin,27,3,370101,759132,2016,0.487531813
333,Hennepin,27,5,388415,759132,2016,0.511656734
334,Hennepin,27,6,616,759132,2016,0.000811453
335,Houston,28,1,12026,12026,2016,1
336,Hubbard,29,8,12621,12621,2016,1
337,Isanti,30,8,22928,22928,2016,1
338,Itasca,31,8,27115,27115,2016,1
339,Jackson,32,1,5985,5985,2016,1
340,Kanabec,33,8,9265,9265,2016,1
341,Kandiyohi,34,7,23720,23720,2016,1
342,Kittson,35,7,2730,2730,2016,1
343,Koochiching,36,8,7099,7099,2016,1
344,Lac qui Parle,37,7,4226,4226,2016,1
345,Lake,38,8,7206,7206,2016,1
346,Lake of the Woods,39,7,2443,2443,2016,1
347,Le Sueur,40,1,16502,16502,2016,1
348,Lincoln,41,7,3393,3393,2016,1
349,Lyon,42,7,13562,13562,2016,1
350,Mahnomen,44,7,2480,2480,2016,1
351,Marshall,45,7,5308,5308,2016,1
352,Martin,46,1,11805,11805,2016,1
353,McLeod,43,7,20669,20669,2016,1
354,Meeker,47,7,13494,13494,2016,1
355,Mille Lacs,48,8,14442,14442,2016,1
356,Morrison,49,8,19085,19085,2016,1
357,Mower,50,1,20044,20044,2016,1
358,Murray,51,7,5096,5096,2016,1
359,Nicollet,52,1,19992,19992,2016,1
360,Nobles,53,1,9536,9536,2016,1
361,Norman,54,7,3615,3615,2016,1
362,Olmsted,55,1,90268,90268,2016,1
363,Otter Tail,56,7,35745,35745,2016,1
364,Pennington,57,7,7401,7401,2016,1
365,Pine,58,8,15559,15559,2016,1
366,Pipestone,59,7,5369,5369,2016,1
367,Polk,60,7,16516,16516,2016,1
368,Pope,61,7,6898,6898,2016,1
369,Ramsey,62,4,303490,305623,2016,0.993020813
370,Ramsey,62,5,2133,305623,2016,0.006979187
371,Red Lake,63,7,2157,2157,2016,1
372,Redwood,64,7,9356,9356,2016,1
373,Renville,65,7,8508,8508,2016,1
374,Rice,66,1,20619,35915,2016,0.574105527
375,Rice,66,2,15296,35915,2016,0.425894473
376,Rock,67,1,5241,5241,2016,1
377,Roseau,68,7,8544,8544,2016,1
378,Scott,70,2,82609,82609,2016,1
379,Sherburne,71,6,53671,53671,2016,1
380,Sibley,72,7,8522,8522,2016,1
381,St. Louis,69,8,123699,123699,2016,1
382,Stearns,73,6,69977,86465,2016,0.809310125
383,Stearns,73,7,16488,86465,2016,0.190689875
384,Steele,74,1,21036,21036,2016,1
385,Stevens,75,7,5753,5753,2016,1
386,Swift,76,7,5567,5567,2016,1
387,Todd,77,7,13007,13007,2016,1
389,Traverse,78,7,2002,2002,2016,1
390,Wabasha,79,2,13276,13276,2016,1
391,Wadena,80,8,7539,7539,2016,1
392,Waseca,81,1,10582,10582,2016,1
393,Washington,82,2,25957,159464,2016,0.162776551
394,Washington,82,4,107018,159464,2016,0.671110721
395,Washington,82,6,26489,159464,2016,0.166112728
396,Watonwan,83,1,5864,5864,2016,1
397,Wilkin,84,7,3585,3585,2016,1
398,Winona,85,1,28813,28813,2016,1
399,Wright,86,6,75968,75968,2016,1
400,Yellow Medicine,87,7,5924,5924,2016,1
